"","Survived","Pclass","Name","Sex","Age","Fare","Embarked"
"1","0","3","Kelly, Mr. James","male","Adult",7.8292,"Q"
"2","1","3","Wilkes, Mrs. James (Ellen Needs)","female","Adult",7,"S"
"3","0","2","Myles, Mr. Thomas Francis","male","Senior",9.6875,"Q"
"4","0","3","Wirz, Mr. Albert","male","Adult",8.6625,"S"
"5","1","3","Hirvonen, Mrs. Alexander (Helga E Lindqvist)","female","Adult",12.2875,"S"
"6","0","3","Svensson, Mr. Johan Cervin","male","Child",9.225,"S"
"7","1","3","Connolly, Miss. Kate","female","Adult",7.6292,"Q"
"8","0","2","Caldwell, Mr. Albert Francis","male","Adult",29,"S"
"9","1","3","Abrahim, Mrs. Joseph (Sophie Halaut Easu)","female","Child",7.2292,"C"
"10","0","3","Davies, Mr. John Samuel","male","Adult",24.15,"S"
"11","0","3","Ilieff, Mr. Ylio","male","Adult",7.8958,"S"
"12","0","1","Jones, Mr. Charles Cresson","male","Adult",26,"S"
"13","1","1","Snyder, Mrs. John Pillsbury (Nelle Stevenson)","female","Adult",82.2667,"S"
"14","0","2","Howard, Mr. Benjamin","male","Senior",26,"S"
"15","1","1","Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)","female","Adult",61.175,"S"
"16","1","2","del Carlo, Mrs. Sebastiano (Argenia Genovesi)","female","Adult",27.7208,"C"
"17","0","2","Keane, Mr. Daniel","male","Adult",12.35,"Q"
"18","0","3","Assaf, Mr. Gerios","male","Adult",7.225,"C"
"19","1","3","Ilmakangas, Miss. Ida Livija","female","Adult",7.925,"S"
"20","1","3","Assaf Khalil, Mrs. Mariana (Miriam"")""","female","Adult",7.225,"C"
"21","0","1","Rothschild, Mr. Martin","male","Adult",59.4,"C"
"22","0","3","Olsen, Master. Artur Karl","male","Child",3.1708,"S"
"23","1","1","Flegenheim, Mrs. Alfred (Antoinette)","female","Adult",31.6833,"S"
"24","0","1","Williams, Mr. Richard Norris II","male","Adult",61.3792,"C"
"25","1","1","Ryerson, Mrs. Arthur Larned (Emily Maria Borie)","female","Adult",262.375,"C"
"26","0","3","Robins, Mr. Alexander A","male","Adult",14.5,"S"
